lat,lon,nombre,localidad,provincia,comunidad,empresa,marca
40.5708735085947,-2.087844169349287,Fuente del Arca,Beteta,Cuenca,Castilla-La Mancha,,Sierra Natura
40.50871509918232,-2.129822369065928,Solán de Cabras,Beteta,Cuenca,Castilla-La Mancha,,Solán de Cabras
39.735613179686794,-4.937721441193332,Valtorre,Belvis de la Jara,Toledo,Castilla-La Mancha,,Agua de Valtorre y Fuentelajara
41.490851092496406,-2.9906720842285255,Castillo de Gormaz,Gormaz,Soria,Castilla y León,,Agua Encaja Mejor
42.56401830164504,-3.451225114049674,Santolín,Quintana-Urria,Burgos,Castilla y León,,Aquabona Santolín
42.5279739262187,-4.729272277014778,Aquadomus,Saldaña,Palencia,Castilla y León,,Aquadomus
42.56472189641073,-5.693039750276514,Virgen del Camino,San Miguel del Camino,León,Castilla y León,,Aquaservice
40.996244258691284,-5.4614010606306005,Antigua Fuente del Caño,Babilafuente ,Salamanca,Castilla y León,,Babilafuente
40.95076444201623,-4.034834650925415,Bezoya Trescasas,Trescasas,Segovia,Castilla y León,,Bezoya Trescasas
40.8285913401818,-4.166069729837665,Bezoya,Ortigosa del Monte,Segovia,Castilla y León,,Bezoya
41.966898615932365,-6.729695931272881,Calabor,Pedralba de la Pradería,Zamora,Castilla y León,,Calabor
43.031324965431054,-3.8789215750025874,Balneario de Corconte,Valle de Valdebezana,Burgos,Castilla y León,,Corconte
42.96502206699407,-4.48622837354549,Fuentes de Lebanza,Lebanza,Palencia,Castilla y León,,Fuentes de Lebanza
41.49398210345177,-2.5336587312992918,Montepinos,Almazán,Soria,Castilla y León,Vichy Catalan Corporation,Montepinos
42.69232527179824,-5.667192656371561,San Andrés y Carrizal II,Cuadros,León,Castilla y León,Zerep Carbónicas,San Andrés II
42.613647143666505,-5.611242660071788,San Andrés y Carrizal,San Andrés de Rabanedo,León,Castilla y León,Zerep Carbónicas,San Andrés y Carrizal
"41.13501228246331,",-5.702765242965035,San Joaquín,Valdunciel,Salamanca,Castilla y León,,San Joaquín
42.62009272925595,-6.316529725692396,Soceo,La Ribera de Folgoso,León,Castilla y León,,Soceo
42.33314793299067,-5.937968256391955,Teleno,Palacios de la Valduerna,León,Castilla y León,,Teleno
40.850254490874455,-4.7617394024994395,URSU9,El Oso,Ávila,Castilla y León,,URSU9
42.27333153267025,2.160102125552447,Fontaga,Ribes de Freser,Girona,Cataluña,,Aigua de Ribes y Fontcristall
41.83963074489126,2.9666239349754275,Salenys,Llagostera,Girona,Cataluña,,Aigua de Salenys
42.32583671751307,3.0944987083905655,Vilajuïga,Vilajuïga,Girona,Cataluña,,Aigua de Vilajuïga
